timestamp,chisel_pink_1_x,chisel_pink_1_y,chisel_pink_2_x,chisel_pink_2_y,hammer_yellow_x,hammer_yellow_y,chisel_pink_1_confidence,chisel_pink_2_confidence,hammer_yellow_confidence,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
1738061314.4757645,238,366,,,1,0,350,321,1,,,,,,
1738061314.527967,238,366,,,1,0,350,320,1,,,,,,
1738061314.5762427,239,365,,,1,0,348,321,1,,,,,,
1738061314.6276543,238,365,,,1,0,348,321,1,,,,,,
1738061314.6760163,238,365,,,1,0,348,321,1,,,,,,
1738061314.8006213,239,366,,,1,0,348,321,1,,,,,,
1738061314.8275518,238,365,,,1,0,349,321,1,,,,,,
1738061314.8644297,240,366,,,1,0,350,322,1,,,,,,
1738061314.9076157,241,368,,,1,0,350,321,1,,,,,,
1738061314.9314027,243,368,,,1,0,352,322,1,,,,,,
1738061314.97555,244,369,,,1,0,353,324,1,,,,,,
1738061315.0278604,245,371,,,1,0,354,324,1,,,,,,
1738061315.0755835,246,371,,,1,0,354,324,1,,,,,,
1738061315.1277666,246,371,,,1,0,353,324,1,,,,,,
1738061315.1756873,246,373,,,1,0,353,324,1,,,,,,
1738061315.2293181,245,373,,,1,0,354,324,1,,,,,,
1738061315.2760968,246,372,,,1,0,355,324,1,,,,,,
1738061315.328054,244,367,,,1,0,356,326,1,,,,,,
1738061315.37558,243,357,247,337,1,1,357,326,1,,,,,,
1738061315.4276977,241,343,248,326,1,1,358,327,1,,,,,,
1738061315.4759336,242,329,242,312,1,1,360,327,1,,,,,,
1738061315.5303648,241,322,,,1,0,361,327,1,,,,,,
1738061315.5756042,242,324,,,1,0,363,326,1,,,,,,
1738061315.627826,244,336,242,315,1,1,366,326,1,,,,,,
1738061315.676074,238,348,251,330,1,1,369,326,1,,,,,,
1738061315.727845,229,359,247,343,1,1,373,327,1,,,,,,
1738061315.777529,217,368,227,348,1,1,376,326,1,,,,,,
1738061315.9183109,204,369,,,1,0,379,326,1,,,,,,
1738061315.9612064,198,372,193,369,1,1,380,326,1,,,,,,
1738061315.9982016,,,,,0,0,382,325,1,,,,,,
1738061316.0481555,,,,,0,0,385,322,1,,,,,,
1738061316.137936,155,353,,,1,0,389,320,1,,,,,,
1738061316.1800673,139,352,,,1,0,392,313,1,,,,,,
1738061316.2271326,122,355,,,1,0,393,303,1,,,,,,
1738061316.257459,125,348,,,1,0,390,289,1,,,,,,
1738061316.2807012,111,352,,,1,0,383,277,1,,,,,,
1738061316.3351252,,,,,0,0,374,264,1,,,,,,
1738061316.3575664,,,,,0,0,364,248,1,,,,,,
1738061316.3848739,,,,,0,0,350,236,1,,,,,,
1738061316.4276187,,,,,0,0,331,224,1,,,,,,
1738061316.475598,136,388,,,1,0,305,216,1,,,,,,
1738061316.527726,134,412,,,1,0,271,218,1,,,,,,
1738061316.5756016,135,417,,,1,0,242,229,1,,,,,,
1738061316.6276953,,,,,0,0,219,229,1,,,,,,
1738061316.675732,,,,,0,0,202,236,1,,,,,,
1738061316.7279665,152,426,,,1,0,191,253,1,,,,,,
1738061316.7758253,150,424,,,1,0,163,237,1,,,,,,
1738061316.8277056,153,426,,,1,0,,,0,,,,,,
1738061316.8800046,154,427,164,419,1,1,,,0,,,,,,
1738061316.966366,161,418,149,424,1,1,,,0,,,,,,
1738061316.9957926,161,419,,,1,0,,,0,,,,,,
1738061317.0281024,151,422,,,1,0,,,0,,,,,,
1738061317.0800865,,,,,0,0,,,0,,,,,,
1738061317.26418,,,,,0,0,,,0,,,,,,
1738061317.301828,,,,,0,0,,,0,,,,,,
1738061318.1023524,,,,,0,0,,,0,,,,,,
1738061318.2119052,,,,,0,0,,,0,,,,,,
1738061318.2424524,,,,,0,0,,,0,,,,,,
1738061318.8067582,,,,,0,0,,,0,,,,,,
1738061319.214353,,,,,0,0,,,0,,,,,,
1738061319.6238775,,,,,0,0,,,0,,,,,,
1738061320.0327559,,,,,0,0,45,267,1,,,,,,
1738061320.2480037,,,,,0,0,39,270,1,,,,,,
1738061320.352264,,,,,0,0,40,274,1,,,,,,
1738061320.4411242,,,,,0,0,,,0,,,,,,
1738061320.4851222,,,,,0,0,38,286,1,,,,,,
1738061320.5037878,,,,,0,0,31,289,1,,,,,,
1738061320.5765479,,,,,0,0,33,288,1,,,,,,
1738061320.6672502,,,,,0,0,34,287,1,,,,,,
1738061320.7323415,,,,,0,0,34,287,1,,,,,,
1738061320.8160129,,,,,0,0,34,288,1,,,,,,
1738061320.8632805,,,,,0,0,31,286,1,,,,,,
1738061320.8964145,,,,,0,0,28,293,1,,,,,,
1738061320.9424624,,,,,0,0,24,295,1,,,,,,
1738061320.9964728,,,,,0,0,23,297,1,,,,,,
1738061321.0109677,,,,,0,0,21,296,1,,,,,,
1738061321.0401998,,,,,0,0,22,298,1,,,,,,
1738061321.0613656,,,,,0,0,22,298,1,,,,,,
1738061321.098379,,,,,0,0,22,298,1,,,,,,
1738061321.1644216,,,,,0,0,21,298,1,,,,,,
1738061321.348636,,,,,0,0,21,298,1,,,,,,
1738061321.3867657,,,,,0,0,20,298,1,,,,,,
1738061321.407684,,,,,0,0,19,297,1,,,,,,
1738061321.4746861,,,,,0,0,19,297,1,,,,,,
1738061321.555752,,,,,0,0,17,298,1,,,,,,
1738061321.6334023,,,,,0,0,14,300,1,,,,,,
1738061321.6833677,,,,,0,0,14,301,1,,,,,,
1738061321.7936223,,,,,0,0,7,300,1,,,,,,
1738061321.8394341,,,,,0,0,6,300,1,,,,,,
1738061321.8998845,,,,,0,0,6,305,1,,,,,,
1738061321.927774,,,,,0,0,5,304,1,,,,,,
1738061321.9710414,,,,,0,0,6,302,1,,,,,,
1738061321.9876475,,,,,0,0,6,303,1,,,,,,
1738061322.0202432,,,,,0,0,6,302,1,,,,,,
1738061322.1034539,,,,,0,0,4,299,1,,,,,,
1738061322.1708276,,,,,0,0,5,303,1,,,,,,
1738061322.1999483,,,,,0,0,4,304,1,,,,,,
1738061322.2201343,,,,,0,0,5,304,1,,,,,,
1738061322.2449338,,,,,0,0,5,305,1,,,,,,
1738061322.2890778,,,,,0,0,5,303,1,,,,,,
1738061322.3325334,,,,,0,0,5,302,1,,,,,,
1738061322.3902116,,,,,0,0,5,302,1,,,,,,
1738061322.4317183,,,,,0,0,5,304,1,,,,,,
1738061322.479866,,,,,0,0,5,305,1,,,,,,
1738061322.5320487,,,,,0,0,5,304,1,,,,,,
1738061322.5817776,,,,,0,0,4,302,1,,,,,,
1738061322.631794,,,,,0,0,4,300,1,,,,,,
1738061322.6796405,,,,,0,0,4,300,1,,,,,,
1738061322.8010683,,,,,0,0,4,299,1,,,,,,
1738061322.8355238,,,,,0,0,4,303,1,,,,,,
1738061322.8615808,,,,,0,0,3,306,1,,,,,,
1738061322.9102707,,,,,0,0,2,309,1,,,,,,
1738061322.9539797,,,,,0,0,1,309,1,,,,,,
1738061322.9910994,,,,,0,0,2,310,1,,,,,,
1738061323.0317218,,,,,0,0,2,309,1,,,,,,
1738061323.1402907,,,,,0,0,2,309,1,,,,,,
1738061323.1862352,,,,,0,0,2,310,1,,,,,,
1738061323.2444847,,,,,0,0,2,310,1,,,,,,
1738061323.2689676,,,,,0,0,2,311,1,,,,,,
1738061323.3073032,,,,,0,0,2,311,1,,,,,,
1738061323.331751,,,,,0,0,2,310,1,,,,,,
1738061323.3836513,,,,,0,0,2,311,1,,,,,,
1738061323.431699,,,,,0,0,2,310,1,,,,,,
1738061323.4836762,,,,,0,0,2,311,1,,,,,,
1738061323.5317936,,,,,0,0,3,309,1,,,,,,
1738061323.5842555,,,,,0,0,3,309,1,,,,,,
1738061323.6318269,,,,,0,0,3,308,1,,,,,,
1738061323.6841202,,,,,0,0,3,308,1,,,,,,
1738061323.7317183,,,,,0,0,3,309,1,,,,,,
1738061323.783958,,,,,0,0,2,309,1,,,,,,
1738061323.8751888,,,,,0,0,2,309,1,,,,,,
1738061323.9626122,,,,,0,0,2,308,1,,,,,,
1738061324.327036,,,,,0,0,2,309,1,,,,,,
1738061324.3549745,,,,,0,0,3,306,1,,,,,,
1738061324.3868518,,,,,0,0,3,305,1,,,,,,
1738061324.4236162,,,,,0,0,3,305,1,,,,,,
1738061324.4461377,,,,,0,0,,,0,,,,,,
1738061324.4686933,,,,,0,0,,,0,,,,,,
1738061324.4876096,,,,,0,0,,,0,,,,,,
1738061324.536253,,,,,0,0,,,0,,,,,,
1738061324.583655,91,379,,,1,0,,,0,,,,,,
1738061324.6318316,94,379,,,1,0,,,0,,,,,,
1738061324.683707,83,354,86,364,1,1,,,0,,,,,,
1738061324.733148,82,340,,,1,0,,,0,,,,,,
1738061324.7835617,83,326,,,1,0,,,0,,,,,,
1738061324.833502,85,314,,,1,0,,,0,,,,,,
1738061324.8837535,86,308,,,1,0,,,0,,,,,,
1738061324.9326377,,,,,0,0,,,0,,,,,,
1738061324.9836798,,,,,0,0,,,0,,,,,,
1738061325.0315917,,,,,0,0,,,0,,,,,,
1738061325.083733,80,312,,,1,0,,,0,,,,,,
1738061325.1325684,,,,,0,0,,,0,,,,,,
1738061325.1836865,,,,,0,0,,,0,,,,,,
1738061325.2317197,,,,,0,0,,,0,,,,,,
1738061325.2834637,71,333,72,321,1,1,,,0,,,,,,
1738061325.3341715,71,345,,,1,0,,,0,,,,,,
1738061325.3840795,,,,,0,0,,,0,,,,,,
1738061325.4316869,,,,,0,0,,,0,,,,,,
1738061325.4836116,73,346,72,334,1,1,,,0,,,,,,
1738061325.5319684,71,323,,,1,0,,,0,,,,,,
1738061325.5843124,,,,,0,0,,,0,,,,,,
1738061325.6334198,72,324,72,314,1,1,,,0,,,,,,
1738061325.6847527,74,335,,,1,0,,,0,,,,,,
1738061325.7316682,,,,,0,0,,,0,,,,,,
1738061325.7835898,,,,,0,0,,,0,,,,,,
1738061325.8323987,79,330,,,1,0,,,0,,,,,,
1738061325.88437,,,,,0,0,,,0,,,,,,
1738061325.9324086,82,332,80,320,1,1,,,0,,,,,,
1738061325.9893277,80,341,,,1,0,,,0,,,,,,
1738061326.0320768,,,,,0,0,,,0,,,,,,
1738061326.083922,78,350,,,1,0,,,0,,,,,,
1738061326.1316833,77,342,,,1,0,,,0,,,,,,
1738061326.183608,,,,,0,0,,,0,,,,,,
